loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-11 23:19:33
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,3.98,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-12 23:18:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-12 23:18:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,4.69,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-12 23:18:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-12 23:18:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,3.98,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-13 23:19:32
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,4.69,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-13 23:19:32
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-13 23:19:32
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-13 23:19:32
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,3.98,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-14 23:19:08
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,4.69,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-14 23:19:08
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-14 23:19:08
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-14 23:19:08
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,3.98,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-15 23:19:40
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-15 23:19:40
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,4.69,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-15 23:19:40
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-15 23:19:40
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,2.69,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-16 23:19:35
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-16 23:19:35
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,4.69,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-16 23:19:35
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-16 23:19:35
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,2.69,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-17 23:19:23
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,2.95,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-17 23:19:23
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,4.69,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-17 23:19:23
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-17 23:19:23
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,2.69,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-18 23:19:22
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,2.95,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-18 23:19:22
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,4.69,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-18 23:19:22
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-18 23:19:22
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,3.48,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-19 23:19:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-19 23:19:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,4.69,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-19 23:19:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-19 23:19:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,3.48,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-20 23:20:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-20 23:20:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,5.49,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-20 23:20:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-20 23:20:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,3.48,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-21 23:20:56
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,5.49,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-21 23:20:56
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-21 23:20:56
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-21 23:20:56
