loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Caipira Ares Campo Com 10 Unidades,10.98,https://www.deliveryfort.com.br/ovo-caipira-ares-campo-com-10-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Katayama Grande Pvc Com 30 Unidades,22.98,https://www.deliveryfort.com.br/ovo-vermelho-katayama-grande-pvc-com-30-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Katayama Grande Pvc Com 20 Unidades,0.0,https://www.deliveryfort.com.br/ovo-vermelho-katayama-grande-pvc-com-20-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Caipira Pupo Bandeja Com 20 Unidades,16.98,https://www.deliveryfort.com.br/ovo-caipira-pupo-bandeja-com-20-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Katayma Extra Com 20 Unidades,0.0,https://www.deliveryfort.com.br/ovo-vermelho-katayma-extra-com-20-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Extra Vermelho Mantiqueira Classe A Com 20 Unidades,12.98,https://www.deliveryfort.com.br/ovo-extra-vermelho-mantiqueira-classe-a-com-20-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Vermelhos Kasulke com 30 Unidades Médios,0.0,https://www.deliveryfort.com.br/ovos-vermelhos-kasulke-com-30-unidades-medios/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Branco Katayma Grande com 30 Unidades,18.98,https://www.deliveryfort.com.br/ovo-branco-katayma-grande-com-30-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Katayma Grande Com 12 Unidades,0.0,https://www.deliveryfort.com.br/ovo-vermelho-katayma-grande-com-12-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Vermelhos Sieme com 20 Unidades Extra,8.98,https://www.deliveryfort.com.br/ovos-vermelhos-sieme-com-20-unidades-extra/p,2026-01-07 20:21:05
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Vermelhos Carminatti com 30 Unidades Grandes,13.98,https://www.deliveryfort.com.br/ovos-vermelhos-carminatti-com-30-unidades-grandes/p,2026-01-07 20:21:05
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Caipira Free Lar com 20 Unidades Plastificado,17.99,https://www.deliveryfort.com.br/ovos-caipira-free-lar-com-20-unidades-plastificado/p,2026-01-07 20:21:05
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Mantiqueira Happy Eggs Com 20 Unidades,15.98,https://www.deliveryfort.com.br/ovo-vermelho-mantiqueira-happy-eggs-com-20-unidades/p,2026-01-07 20:21:05
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Mantiqueira Grande Com 30 Unidades,13.98,https://www.deliveryfort.com.br/ovo-vermelho-mantiqueira-grande-com-30-unidades/p,2026-01-07 20:21:05
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Free Lar Caipira | Com 10 Unidades,10.98,https://www.deliveryfort.com.br/ovo-vermelho-free-lar-caipira---com-10-unidades/p,2026-01-07 20:21:05
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Branco Mantiqueira Grande Com 30 Unidades,13.98,https://www.deliveryfort.com.br/ovo-branco-mantiqueira-grande-com-30-unidades/p,2026-01-07 20:21:05
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Free Lar Jumbo | Com 10 Unidades,10.98,https://www.deliveryfort.com.br/ovo-vermelho-free-lar-jumbo---com-10-unidades/p,2026-01-07 20:21:05
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Vermelhos Mantiqueira Happy Eggys com 10 Unidades,8.98,https://www.deliveryfort.com.br/ovos-vermelhos-mantiqueira-happy-eggys-com-10-unidades/p,2026-01-07 20:21:05
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Vermelhos Mantiqueira Jumbo com 10 Unidades Polpa,7.48,https://www.deliveryfort.com.br/ovos-vermelhos-mantiqueira-jumbo-com-10-unidades-polpa/p,2026-01-07 20:21:05
